Fecha,Precipitacion,Temperatura,Caudal_Real,Inercia_3meses,Mes,Caudal_IA
1954-10-01,143.16333333333333,23.313333333333333,,84.47111111111111,10,151.21833333333328
1954-11-01,27.71666666666667,23.026666666666667,,79.18222222222222,11,72.13583333333334
1954-12-01,24.626666666666665,21.603333333333335,,65.16888888888889,12,44.66000000000002
1955-01-01,35.47,21.323333333333334,,29.27111111111111,1,49.39916666666668
1955-02-01,34.02333333333333,21.41333333333333,,31.373333333333335,2,51.94750000000002
1955-03-01,17.30333333333333,22.11666666666667,,28.932222222222222,3,38.18166666666668
1955-04-01,58.49666666666667,22.8,,36.60777777777778,4,33.724999999999994
1955-05-01,102.07,23.356666666666666,,59.29,5,74.91833333333331
1955-06-01,73.79,24.350000000000005,,78.11888888888889,6,75.52666666666666
1955-07-01,50.693333333333335,24.7,,75.51777777777778,7,40.30250000000002
1955-08-01,59.913333333333334,25.340000000000003,,61.46555555555556,8,39.24583333333334
1955-09-01,60.086666666666666,25.049999999999997,,56.897777777777776,9,34.36750000000001
1955-10-01,68.26333333333334,24.44666666666667,,62.75444444444445,10,52.41749999999998
1955-11-01,43.43,23.586666666666662,,57.26000000000001,11,46.37083333333335
